personid,deviceid,zoneid,gymid,exittime
313,964,5,28,2025-03-16 16:02:50
303,718,5,266,2025-01-09 21:57:46
121,442,4,288,2025-03-11 18:33:18
31,1439,2,108,2024-08-14 15:19:02
555,668,8,271,2024-09-11 19:43:07
17,275,2,14,2025-03-29 21:10:47
792,1093,6,143,2024-07-25 23:59:00
611,1195,10,202,2024-09-15 15:25:43
548,250,1,152,2024-10-20 13:24:49
538,873,6,115,2024-11-11 23:59:00
252,1453,2,159,2024-10-01 16:23:47
444,1282,9,284,2024-05-07 22:18:36
79,623,8,102,2024-07-31 22:25:54
373,1485,1,10,2024-12-19 13:36:35
137,65,5,364,2024-12-17 12:06:32
369,1449,7,336,2024-12-24 15:16:39
139,81,3,282,2024-07-31 15:15:41
171,25,3,212,2024-05-15 10:48:39
70,737,10,392,2024-06-26 07:19:35
272,239,10,299,2025-03-20 09:43:16
664,134,6,158,2024-04-18 07:23:02
402,91,7,98,2024-04-29 21:56:43
152,1148,6,330,2024-11-29 07:13:25
459,1158,4,135,2024-07-03 10:25:23
738,1284,1,147,2025-01-09 23:59:00
37,2,10,214,2024-07-29 09:27:32
16,1288,7,399,2024-08-18 13:30:28
81,653,9,72,2025-03-05 22:54:56
423,351,4,58,2024-08-07 04:40:31
360,174,2,56,2024-06-02 12:43:23
409,251,1,257,2024-07-30 10:19:20
343,1048,1,49,2025-02-21 11:26:42
500,620,10,27,2024-07-27 22:51:23
193,1282,9,284,2024-09-20 06:30:07
529,252,1,257,2025-03-01 23:59:00
300,735,7,1,2024-09-14 05:21:33
298,1012,4,375,2024-05-17 10:10:35
80,1089,3,37,2025-02-01 22:03:22
781,1411,8,377,2024-11-26 13:09:22
174,501,10,16,2024-08-14 10:27:50
563,92,7,98,2024-12-30 20:39:21
296,1218,7,100,2024-06-05 16:15:58
300,693,8,38,2024-07-22 23:59:00
203,1202,2,389,2024-11-10 19:35:48
513,313,6,155,2024-08-21 15:18:01
132,1043,9,299,2025-01-21 17:35:18
